Array size;Bubble sorting time;Selection sorting time;Insertion sorting time;Quick sorting time;Selection sorting time
1000;2.69973;1.14423;0.584632;0.116822;0.125152
1250;4.34152;1.73829;0.894585;0.141633;0.147962
1500;6.14509;2.76322;1.30032;0.142076;0.155349
1750;8.55588;3.47225;1.71379;0.168597;0.182733
2000;11.0266;4.60824;2.28146;0.188845;0.206736
2250;14.0635;5.60925;2.75382;0.223381;0.234746
2500;17.6023;7.1899;3.49294;0.249424;0.262402
2750;21.1492;8.50431;4.14882;0.270858;0.29034
3000;24.7397;10.0472;4.98893;0.293591;0.317297
3250;29.6067;11.6577;5.67485;0.313895;0.348473
3500;35.2475;13.3428;7.09136;0.39423;0.374389
3750;40.2071;15.418;7.64529;0.364114;0.56533
4000;45.3028;17.6205;8.86782;0.404329;0.429269
4250;50.7627;19.573;10.1538;0.447019;0.457182
4500;57.5141;22.145;10.9824;0.516259;0.485791
4750;64.1349;24.6337;12.3544;0.488941;0.745583
5000;71.2354;27.0732;14.312;0.511821;0.564564
5250;79.4228;30.3501;15.2276;0.533568;0.570378
5500;85.6502;33.3989;16.8257;0.579965;0.625046
5750;94.0304;36.0426;17.7774;0.584733;0.642489
6000;102.335;39.4188;19.4749;0.601737;0.650724
6250;110.774;42.877;21.381;0.660401;0.767172
6500;120.861;46.1888;23.107;0.673338;0.714694
6750;129.148;49.9626;25.1409;0.707987;0.765078
7000;138.526;53.2591;26.44;0.698702;0.824054
7250;148.594;57.2975;29.3137;0.752473;0.814142
7500;161.535;61.4404;30.6107;0.780844;0.831163
7750;171.275;65.5969;33.1594;0.796362;0.881018
8000;181.058;69.5478;35.2073;0.813505;0.906386
8250;194.048;74.0449;37.1906;0.933372;1.04495
8500;204.947;78.452;39.8764;0.866126;0.975524
8750;216.796;82.7779;41.7389;0.916113;1.02875
9000;230.347;87.6803;43.6483;1.03378;1.05353
9250;244.567;92.739;47.1036;0.98314;1.03821
9500;253.902;97.0537;49.0377;0.993403;1.06372
9750;269.962;102.578;52.1754;1.0413;1.12519
10000;284.048;108.1;55.4205;1.14771;1.20476
15000;644.077;241.924;122.134;1.68475;1.78606
20000;1139.97;428.538;214.104;2.23503;2.41505
25000;1769.91;670.327;338.858;2.86862;3.06953
30000;2556.47;968.342;484.168;3.51646;3.79467
35000;3468.35;1309.73;656.417;4.25722;4.43267
40000;4528.85;1708.33;856.935;4.76772;5.34177
45000;5732.13;2163.85;1084.25;5.44649;6.0371
50000;7089.84;2680.26;1338.8;6.15485;6.75326
55000;8586.12;3234.63;1634.01;7.23963;7.78277
60000;10210.9;3837.74;1927.73;7.65692;7.95463
65000;12280.9;4523.01;2280.08;8.0757;8.7032
70000;13956.7;5262.51;2640.3;9.02872;9.44478
75000;16374.4;6002.52;2995.8;9.50551;10.4864
80000;18312.7;6940.86;3613.92;10.6796;12.0049
85000;20958.4;7737.19;3875.09;11.0987;11.6586
90000;23006.3;8664.52;4411.58;11.9397;12.4614
95000;25979.5;9668.44;4927.91;12.632;13.5783
100000;28678.8;10721.7;5383.45;13.1518;14.2825
